Date,Open,High,Low,Close,Adj. Close,Volume
"Oct 24, 2025","1,011.00","1,011.95",991.30,994.75,994.75,"17,706,920"
"Oct 23, 2025","1,016.00","1,020.50","1,006.00","1,008.80","1,008.80","43,526,526"
"Oct 21, 2025","1,006.00","1,010.00","1,004.00","1,007.70","1,007.70","3,471,600"
"Oct 20, 2025",997.00,"1,020.00",997.00,"1,002.95","1,002.95","22,195,202"
"Oct 17, 2025",993.95,"1,009.00",986.00,"1,002.55","1,002.55","25,210,511"
"Oct 16, 2025",982.65,996.60,981.50,994.35,994.35,"22,936,566"
"Oct 15, 2025",975.00,984.90,973.35,978.25,978.25,"23,310,447"
"Oct 14, 2025",970.00,980.45,967.00,977.15,977.15,"22,934,382"
"Oct 13, 2025",974.30,981.00,972.00,977.00,977.00,"18,634,254"
"Oct 10, 2025",979.00,986.20,978.10,980.90,980.90,"13,757,080"
"Oct 9, 2025",974.50,979.00,970.15,977.10,977.10,"15,370,950"
"Oct 8, 2025",976.00,985.90,974.55,978.70,978.70,"15,939,710"
"Oct 7, 2025",974.00,989.85,971.00,982.50,982.50,"25,535,736"
"Oct 6, 2025",971.90,977.40,962.00,973.45,973.45,"18,542,683"
"Oct 3, 2025",952.00,966.75,952.00,965.15,965.15,"26,658,296"
"Oct 1, 2025",952.70,969.60,946.00,965.25,965.25,"25,350,832"
"Sep 30, 2025",958.05,960.00,946.30,951.00,951.00,"28,296,687"
"Sep 29, 2025",946.05,956.80,939.10,950.30,950.30,"32,398,179"
"Sep 26, 2025",945.10,951.45,941.30,945.05,945.05,"14,874,656"
"Sep 25, 2025",952.50,958.00,947.40,949.85,949.85,"31,413,279"
"Sep 24, 2025",952.20,956.45,943.00,951.05,951.05,"15,117,220"
"Sep 23, 2025",967.00,968.20,955.50,957.20,957.20,"21,022,298"
"Sep 22, 2025",964.00,971.20,961.95,964.20,964.20,"10,854,415"
"Sep 19, 2025",974.90,976.70,962.10,966.90,966.90,"31,243,267"
"Sep 18, 2025",973.30,979.65,969.25,976.90,976.90,"17,791,598"
"Sep 17, 2025",965.15,974.40,964.35,966.50,966.50,"17,361,476"
"Sep 16, 2025",961.20,969.35,961.20,966.85,966.85,"18,661,794"
"Sep 15, 2025",969.60,972.35,965.00,967.05,967.05,"14,486,377"
"Sep 12, 2025",969.90,970.75,962.25,967.30,967.30,"14,363,519"
"Sep 11, 2025",960.30,969.25,959.90,967.80,967.80,"15,113,633"
"Sep 10, 2025",973.90,973.90,961.70,965.90,965.90,"18,091,100"
"Sep 9, 2025",974.00,974.40,962.70,965.15,965.15,"13,985,539"
"Sep 8, 2025",969.00,973.15,960.45,966.00,966.00,"11,711,307"
"Sep 5, 2025",967.50,967.50,954.05,963.40,963.40,"11,602,111"
"Sep 4, 2025",960.20,965.70,956.25,961.25,961.25,"17,597,657"
"Sep 3, 2025",945.00,956.30,940.00,954.45,954.45,"16,083,481"
