Date,Open,High,Low,Close,Adj. Close,Volume
"Oct 24, 2025","1,368.10","1,381.60","1,368.10","1,377.70","1,377.70","10,569,530"
"Oct 23, 2025","1,385.00","1,389.80","1,360.10","1,363.70","1,363.70","21,124,942"
"Oct 21, 2025","1,384.50","1,387.60","1,375.90","1,382.00","1,382.00","3,415,560"
"Oct 20, 2025","1,442.00","1,445.00","1,389.20","1,390.30","1,390.30","23,330,227"
"Oct 17, 2025","1,412.00","1,439.60","1,410.90","1,436.60","1,436.60","17,037,215"
"Oct 16, 2025","1,401.00","1,418.90","1,399.40","1,417.30","1,417.30","12,185,032"
"Oct 15, 2025","1,386.50","1,400.40","1,385.50","1,398.40","1,398.40","8,988,550"
"Oct 14, 2025","1,389.00","1,389.00","1,375.10","1,384.10","1,384.10","10,610,855"
"Oct 13, 2025","1,373.10","1,386.40","1,373.10","1,379.40","1,379.40","8,923,018"
"Oct 10, 2025","1,370.30","1,385.00","1,370.30","1,380.30","1,380.30","7,673,816"
"Oct 9, 2025","1,369.80","1,378.70","1,365.10","1,376.20","1,376.20","7,909,575"
"Oct 8, 2025","1,372.30","1,381.60","1,364.30","1,370.30","1,370.30","8,100,832"
"Oct 7, 2025","1,363.60","1,383.10","1,363.60","1,375.90","1,375.90","16,126,464"
"Oct 6, 2025","1,371.00","1,372.60","1,359.10","1,363.40","1,363.40","14,314,283"
"Oct 3, 2025","1,371.90","1,371.90","1,361.30","1,365.20","1,365.20","12,163,695"
"Oct 1, 2025","1,348.00","1,379.40","1,347.10","1,372.00","1,372.00","20,952,632"
"Sep 30, 2025","1,353.70","1,356.60","1,342.60","1,348.00","1,348.00","20,166,871"
"Sep 29, 2025","1,359.60","1,366.50","1,346.20","1,348.10","1,348.10","20,563,163"
"Sep 26, 2025","1,368.00","1,372.70","1,357.00","1,359.60","1,359.60","18,342,280"
"Sep 25, 2025","1,377.00","1,391.50","1,371.80","1,375.80","1,375.80","21,613,389"
"Sep 24, 2025","1,386.40","1,390.90","1,376.50","1,382.70","1,382.70","9,735,678"
"Sep 23, 2025","1,391.00","1,403.30","1,391.00","1,394.30","1,394.30","12,827,524"
