Date,Open,High,Low,Close,Adj. Close,Volume
"Oct 24, 2025","1,539.50","1,543.00","1,518.00","1,525.40","1,525.40","8,648,872"
"Oct 23, 2025","1,510.00","1,546.00","1,506.00","1,528.50","1,528.50","20,358,624"
"Oct 21, 2025","1,478.00","1,486.00","1,470.00","1,472.40","1,472.40","1,698,704"
"Oct 20, 2025","1,453.70","1,467.00","1,450.00","1,460.90","1,460.90","6,994,246"
"Oct 17, 2025","1,454.90","1,458.40","1,434.00","1,441.10","1,441.10","16,959,378"
"Oct 16, 2025","1,473.90","1,474.50","1,460.50","1,471.50","1,471.50","8,005,748"
"Oct 15, 2025","1,483.90","1,488.60","1,467.50","1,474.40","1,474.40","6,986,098"
"Oct 14, 2025","1,499.00","1,514.40","1,486.50","1,489.90","1,489.90","5,600,789"
"Oct 13, 2025","1,497.00","1,504.70","1,483.40","1,493.20","1,493.20","5,859,355"
"Oct 10, 2025","1,510.00","1,521.70","1,498.80","1,514.90","1,514.90","3,738,353"
"Oct 9, 2025","1,502.00","1,514.00","1,487.00","1,509.30","1,509.30","7,028,753"
"Oct 8, 2025","1,457.00","1,498.00","1,455.00","1,495.00","1,495.00","4,657,192"
"Oct 7, 2025","1,477.70","1,482.90","1,454.00","1,458.50","1,458.50","5,570,320"
"Oct 6, 2025","1,446.60","1,478.80","1,442.30","1,476.00","1,476.00","4,630,590"
"Oct 3, 2025","1,439.00","1,448.30","1,433.20","1,446.60","1,446.60","6,877,533"
"Oct 1, 2025","1,446.00","1,449.50","1,427.40","1,445.80","1,445.80","6,250,692"
"Sep 30, 2025","1,443.00","1,452.20","1,438.10","1,441.80","1,441.80","7,556,305"
"Sep 29, 2025","1,460.00","1,465.00","1,436.50","1,441.80","1,441.80","10,513,117"
"Sep 26, 2025","1,475.00","1,478.70","1,441.20","1,448.90","1,448.90","8,597,058"
"Sep 25, 2025","1,489.00","1,502.70","1,476.50","1,484.80","1,484.80","9,491,867"
"Sep 24, 2025","1,487.20","1,496.70","1,482.70","1,494.60","1,494.60","4,937,004"
"Sep 23, 2025","1,493.00","1,513.00","1,493.00","1,497.50","1,497.50","9,832,164"
"Sep 22, 2025","1,482.70","1,514.70","1,482.00","1,499.50","1,499.50","15,655,204"
"Sep 19, 2025","1,544.60","1,551.30","1,520.10","1,540.20","1,540.20","12,988,129"
"Sep 18, 2025","1,550.00","1,555.00","1,538.50","1,540.60","1,540.60","9,331,945"
"Sep 17, 2025","1,516.90","1,526.70","1,514.00","1,522.40","1,522.40","4,795,698"
"Sep 16, 2025","1,508.40","1,514.00","1,503.50","1,511.30","1,511.30","8,923,112"
"Sep 15, 2025","1,525.60","1,527.50","1,501.20","1,508.40","1,508.40","6,167,414"
"Sep 12, 2025","1,537.00","1,542.90","1,521.10","1,525.60","1,525.60","12,856,963"
"Sep 11, 2025","1,523.90","1,527.50","1,506.50","1,509.70","1,509.70","8,003,662"
"Sep 10, 2025","1,510.10","1,534.90","1,509.30","1,532.60","1,532.60","7,281,071"
"Sep 9, 2025","1,481.00","1,507.20","1,472.50","1,504.30","1,504.30","13,072,640"
"Sep 8, 2025","1,451.00","1,458.00","1,428.30","1,432.90","1,432.90","3,811,567"
"Sep 5, 2025","1,470.00","1,472.70","1,433.00","1,444.60","1,444.60","5,466,487"
"Sep 4, 2025","1,484.00","1,484.00","1,460.10","1,463.00","1,463.00","5,787,724"
"Sep 3, 2025","1,500.00","1,501.90","1,473.00","1,479.10","1,479.10","4,623,483"
"Sep 2, 2025","1,499.40","1,512.80","1,486.30","1,498.70","1,498.70","5,218,763"
"Sep 1, 2025","1,476.70","1,503.40","1,476.20","1,499.40","1,499.40","4,546,057"
"Aug 29, 2025","1,501.90","1,501.90","1,467.70","1,469.60","1,469.60","8,169,075"
"Aug 28, 2025","1,529.60","1,529.60","1,498.00","1,500.10","1,500.10","5,443,364"
"Aug 26, 2025","1,523.00","1,538.40","1,518.60","1,529.60","1,529.60","15,994,798"
"Aug 25, 2025","1,506.70","1,539.00","1,506.70","1,532.10","1,532.10","10,694,531"
"Aug 22, 2025","1,498.10","1,504.30","1,486.10","1,487.50","1,487.50","5,543,397"
"Aug 21, 2025","1,508.00","1,508.00","1,484.30","1,496.40","1,496.40","6,565,539"
"Aug 20, 2025","1,440.70","1,499.00","1,440.70","1,496.20","1,496.20","10,413,061"
"Aug 19, 2025","1,432.70","1,449.40","1,432.70","1,440.00","1,440.00","3,986,094"
"Aug 18, 2025","1,464.70","1,464.70","1,429.60","1,435.80","1,435.80","7,254,561"
"Aug 14, 2025","1,426.20","1,470.00","1,426.20","1,447.70","1,447.70","12,902,347"
"Aug 13, 2025","1,425.00","1,434.00","1,422.40","1,426.60","1,426.60","10,318,063"
"Aug 12, 2025","1,428.20","1,441.00","1,421.00","1,424.10","1,424.10","9,899,184"
"Aug 11, 2025","1,419.90","1,433.40","1,414.00","1,428.20","1,428.20","6,625,368"
"Aug 8, 2025","1,425.00","1,433.20","1,417.10","1,423.10","1,423.10","10,048,009"
"Aug 7, 2025","1,430.00","1,442.00","1,414.20","1,436.90","1,436.90","9,892,020"
"Aug 6, 2025","1,452.00","1,456.10","1,430.30","1,436.70","1,436.70","10,566,934"
"Aug 5, 2025","1,478.70","1,478.70","1,455.00","1,460.30","1,460.30","10,213,323"
"Aug 4, 2025","1,461.50","1,482.80","1,451.00","1,480.50","1,480.50","8,610,216"
"Aug 1, 2025","1,493.90","1,498.70","1,465.50","1,469.60","1,469.60","8,702,978"
"Jul 31, 2025","1,509.70","1,527.10","1,497.00","1,509.00","1,509.00","6,851,407"
"Jul 30, 2025","1,519.90","1,521.70","1,506.00","1,519.00","1,519.00","5,719,051"
"Jul 29, 2025","1,512.90","1,517.20","1,496.10","1,513.70","1,513.70","7,070,448"
"Jul 28, 2025","1,513.90","1,519.30","1,482.50","1,516.00","1,516.00","6,439,855"
"Jul 25, 2025","1,543.40","1,549.50","1,511.30","1,515.70","1,515.70","10,851,259"
"Jul 24, 2025","1,580.00","1,582.00","1,548.20","1,552.50","1,552.50","14,169,664"
"Jul 23, 2025","1,576.30","1,591.90","1,550.00","1,574.50","1,574.50","8,035,026"
"Jul 22, 2025","1,565.00","1,585.80","1,565.00","1,570.90","1,570.90","8,473,741"
"Jul 21, 2025","1,580.00","1,589.00","1,566.80","1,584.30","1,584.30","3,682,661"
"Jul 18, 2025","1,592.10","1,599.30","1,580.00","1,586.10","1,586.10","5,161,833"
"Jul 17, 2025","1,598.00","1,610.00","1,580.10","1,583.50","1,583.50","7,374,814"
"Jul 16, 2025","1,579.00","1,612.00","1,578.50","1,607.90","1,607.90","6,223,491"
"Jul 15, 2025","1,565.10","1,603.60","1,564.00","1,585.60","1,585.60","7,614,807"
"Jul 14, 2025","1,591.80","1,591.80","1,559.80","1,570.30","1,570.30","9,173,426"
"Jul 11, 2025","1,579.10","1,607.10","1,563.00","1,594.90","1,594.90","11,391,755"
"Jul 10, 2025","1,638.90","1,638.90","1,607.10","1,615.80","1,615.80","5,330,179"
"Jul 9, 2025","1,637.80","1,638.00","1,623.60","1,633.70","1,633.70","4,580,828"
