Date,Open,High,Low,Close,Adj. Close,Volume
"Oct 24, 2025","3,080.00","3,090.00","3,058.30","3,063.20","3,063.20","2,683,345"
"Oct 23, 2025","3,055.00","3,098.00","3,036.10","3,073.20","3,073.20","5,564,758"
"Oct 21, 2025","3,031.10","3,031.80","2,996.00","3,006.70","3,006.70","310,644"
"Oct 20, 2025","2,985.50","3,023.00","2,978.50","3,015.20","3,015.20","3,133,039"
"Oct 17, 2025","2,970.00","2,988.80","2,955.40","2,962.20","2,962.20","4,374,683"
"Oct 16, 2025","2,969.90","2,975.00","2,943.10","2,970.70","2,970.70","3,251,495"
"Oct 15, 2025","2,971.00","2,979.70","2,951.00","2,969.80","2,969.80","4,282,226"
"Oct 14, 2025","3,021.00","3,027.20","2,955.50","2,960.30","2,949.30","3,611,416"
"Oct 13, 2025","3,027.00","3,035.50","2,998.20","3,007.20","2,996.03","2,866,865"
"Oct 10, 2025","3,050.00","3,070.00","3,006.90","3,028.30","3,017.05","8,817,365"
"Oct 9, 2025","3,034.00","3,066.00","3,020.00","3,061.70","3,050.32","3,211,304"
"Oct 8, 2025","2,975.00","3,043.00","2,968.00","3,027.20","3,015.95","4,121,889"
"Oct 7, 2025","2,995.00","3,004.50","2,955.50","2,973.70","2,962.65","3,062,943"
"Oct 6, 2025","2,902.00","2,993.60","2,895.60","2,988.40","2,977.30","2,112,774"
"Oct 3, 2025","2,924.00","2,924.00","2,891.10","2,901.90","2,891.12","2,899,519"
"Oct 1, 2025","2,891.00","2,924.80","2,866.60","2,914.20","2,903.37","1,952,902"
"Sep 30, 2025","2,911.00","2,915.30","2,885.10","2,888.40","2,877.67","2,253,458"
"Sep 29, 2025","2,916.00","2,929.30","2,894.00","2,896.10","2,885.34","3,110,035"
"Sep 26, 2025","2,941.00","2,954.80","2,891.30","2,899.10","2,888.33","3,934,636"
"Sep 25, 2025","3,022.00","3,029.60","2,951.00","2,957.40","2,946.41","4,974,361"
"Sep 24, 2025","3,050.00","3,057.00","3,033.00","3,035.40","3,024.12","1,625,714"
"Sep 23, 2025","3,070.00","3,080.70","3,052.00","3,062.40","3,051.02","3,177,741"
"Sep 22, 2025","3,095.00","3,106.90","3,065.00","3,073.80","3,062.38","3,634,901"
"Sep 19, 2025","3,170.00","3,180.50","3,144.00","3,169.20","3,157.42","4,901,694"
"Sep 18, 2025","3,185.00","3,203.00","3,161.40","3,176.70","3,164.90","2,633,138"
"Sep 17, 2025","3,152.00","3,182.40","3,142.40","3,172.80","3,161.01","2,418,271"
"Sep 16, 2025","3,128.00","3,150.00","3,109.10","3,145.70","3,134.01","2,573,429"
"Sep 15, 2025","3,134.00","3,134.00","3,096.00","3,111.90","3,100.34","1,732,539"
"Sep 12, 2025","3,144.00","3,148.70","3,121.00","3,133.40","3,121.76","1,447,167"
"Sep 11, 2025","3,139.00","3,139.00","3,110.10","3,124.20","3,112.59","2,263,446"
"Sep 10, 2025","3,056.40","3,122.70","3,053.40","3,110.00","3,098.44","2,079,428"
"Sep 9, 2025","3,032.10","3,060.00","3,030.80","3,049.40","3,038.07","2,489,301"
"Sep 8, 2025","3,050.00","3,064.90","3,016.00","3,019.00","3,007.78","2,626,187"
"Sep 5, 2025","3,097.10","3,103.40","3,028.60","3,048.30","3,036.97","2,802,055"
"Sep 4, 2025","3,116.00","3,118.00","3,090.80","3,095.70","3,084.20","1,481,391"
"Sep 3, 2025","3,129.90","3,141.90","3,088.00","3,097.50","3,085.99","1,799,774"
"Sep 2, 2025","3,121.10","3,155.00","3,103.10","3,111.50","3,099.94","2,185,229"
"Sep 1, 2025","3,090.00","3,131.10","3,090.00","3,112.60","3,101.03","1,246,862"
"Aug 29, 2025","3,093.00","3,115.00","3,077.20","3,084.70","3,073.24","2,271,789"
"Aug 28, 2025","3,145.00","3,146.50","3,086.50","3,093.70","3,082.20","3,116,051"
"Aug 26, 2025","3,129.00","3,162.00","3,120.00","3,157.20","3,145.47","5,522,097"
"Aug 25, 2025","3,087.30","3,152.00","3,077.10","3,140.60","3,128.93","3,448,370"
"Aug 22, 2025","3,086.00","3,095.70","3,050.00","3,054.00","3,042.65","1,593,791"
"Aug 21, 2025","3,130.00","3,130.00","3,083.10","3,102.60","3,091.07","3,230,726"
"Aug 20, 2025","3,010.90","3,103.40","3,010.90","3,098.60","3,087.09","4,952,358"
"Aug 19, 2025","3,011.20","3,025.00","3,011.10","3,016.20","3,004.99","2,650,784"
"Aug 18, 2025","3,046.50","3,049.00","3,003.40","3,011.20","3,000.01","2,945,609"
"Aug 14, 2025","3,034.00","3,055.90","3,019.10","3,022.30","3,011.07","3,342,174"
"Aug 13, 2025","3,036.10","3,044.40","3,028.60","3,036.20","3,024.92","2,148,166"
"Aug 12, 2025","3,041.00","3,096.40","3,026.90","3,035.40","3,024.12","3,358,232"
"Aug 11, 2025","3,036.40","3,049.90","3,021.30","3,040.80","3,029.50","1,884,215"
"Aug 8, 2025","3,048.10","3,059.80","3,025.00","3,036.40","3,025.12","2,762,140"
"Aug 7, 2025","3,016.00","3,051.60","3,010.90","3,047.00","3,035.68","2,543,076"
"Aug 6, 2025","3,063.00","3,066.80","3,026.00","3,032.30","3,021.03","1,487,081"
"Aug 5, 2025","3,074.40","3,077.50","3,042.00","3,063.90","3,052.52","1,927,996"
"Aug 4, 2025","3,009.10","3,079.40","2,991.60","3,074.40","3,062.98","2,519,252"
"Aug 1, 2025","3,029.90","3,036.80","3,000.00","3,003.00","2,991.84","2,053,847"
"Jul 31, 2025","3,041.70","3,059.80","3,015.00","3,036.80","3,025.52","2,968,371"
"Jul 30, 2025","3,060.00","3,069.00","3,047.20","3,053.60","3,042.25","2,880,121"
"Jul 29, 2025","3,060.00","3,074.00","3,041.20","3,056.00","3,044.64","4,785,312"
"Jul 28, 2025","3,110.00","3,118.00","3,069.90","3,079.30","3,067.86","3,374,473"
"Jul 25, 2025","3,140.00","3,156.90","3,125.60","3,135.80","3,124.15","2,568,917"
"Jul 24, 2025","3,165.10","3,173.70","3,140.00","3,148.00","3,136.30","2,934,778"
"Jul 23, 2025","3,159.60","3,182.00","3,157.60","3,179.10","3,167.29","1,922,875"
"Jul 22, 2025","3,159.60","3,180.10","3,154.60","3,159.60","3,147.86","3,198,036"
"Jul 21, 2025","3,190.00","3,197.60","3,152.00","3,158.20","3,146.46","3,844,346"
"Jul 18, 2025","3,225.00","3,228.80","3,187.00","3,189.90","3,178.05","3,432,645"
"Jul 17, 2025","3,224.10","3,242.00","3,204.10","3,209.20","3,197.28","2,947,640"
"Jul 16, 2025","3,227.00","3,244.90","3,220.60","3,233.10","3,221.09","2,540,733"
"Jul 15, 2025","3,206.00","3,259.40","3,206.00","3,252.30","3,229.26","2,590,889"
"Jul 14, 2025","3,266.00","3,272.00","3,200.00","3,222.70","3,199.87","3,924,009"
"Jul 11, 2025","3,299.90","3,335.00","3,261.10","3,266.00","3,242.86","7,635,550"
"Jul 10, 2025","3,380.00","3,399.00","3,356.00","3,382.00","3,358.04","3,035,012"
"Jul 9, 2025","3,410.00","3,414.00","3,367.00","3,383.80","3,359.82","2,034,938"
"Jul 8, 2025","3,405.00","3,425.00","3,393.40","3,406.20","3,382.07","2,325,242"
"Jul 7, 2025","3,418.30","3,426.10","3,408.40","3,411.70","3,387.53","1,639,174"
"Jul 4, 2025","3,408.00","3,427.00","3,390.10","3,419.80","3,395.57","1,109,320"
"Jul 3, 2025","3,430.00","3,435.30","3,397.60","3,400.80","3,376.70","2,531,870"
